Annual Card Turnover,Average Transaction Amount,Is Registered,Accepts Card,Mastercard Debit,MCC Category,Total Annual Transaction Fees,Current Provider Grouped
100000,10,Yes,Yes, 0.55% + 2p,Miscellaneous Stores,792.0000000000001,Other
10000,1000,Yes,Yes, 1.75% + 0p,Retail Outlet Services,175.00000000000003,Other
60000,307,Yes,Yes, 0.42% + 3p,Miscellaneous Stores,296.1431921824104,Other
800000,30,Yes,Yes, 0.28% + 2p,Professional Services and Membership Organizations,3157.3333333333335,Other
400000,7,Yes,Yes, 0.4% + 2p,Miscellaneous Stores,2922.857142857143,Other
100000,15,No,Yes, 1.5% + 0p,Miscellaneous Stores,1500.0,Other
20000,80,Yes,No, 1% + 0p,Miscellaneous Stores,200.0,Other
200000,5000,Yes,No, 0.42% + 3p,Contracted Services,968.7999999999998,Other
5000,10,Yes,No, 1.75% + 0p,Professional Services and Membership Organizations,87.50000000000001,Other
2000000,2478,Yes,Yes, 0.27% + 2p,Miscellaneous Stores,6136.142050040356,Other
1200000,40,Yes,Yes, 0.28% + 2p,Retail Outlet Services,4536.0,Other
300000,200,Yes,No, 0.39% + 3p,Clothing Stores,1416.6000000000001,Other
20000,120,No,Yes, 1% + 0p,Miscellaneous Stores,200.0,Other
135000,625,No,Yes, 0.55% + 2p,Business Services,803.5200000000002,Other
20000,40,Yes,No, 0.8% + 2p,Miscellaneous Stores,177.20000000000002,Other
80000,50,No,Yes, 0.49% + 2.5p,Miscellaneous Stores,525.6,Other
125000,34,Yes,No, 0.8% + 2p,Miscellaneous Stores,1118.5294117647059,Other
365000,11,Yes,Yes, 0.42% + 2p,Retail Outlet Services,2357.2363636363634,Other
50000,2500,Yes,No, 0.6% + 2p,Retail Outlet Services,319.90000000000003,Other
500,2000,No,Yes, 1.5% + 0p,Miscellaneous Stores,7.499999999999999,Other
20000,10,No,No, 1.75% + 0p,Miscellaneous Stores,350.00000000000006,Other
2500000,8000,Yes,No, 0.4% + 2p,Miscellaneous Stores,11131.25,Other
500000,4000,Yes,No, 0.4% + 2p,Professional Services and Membership Organizations,2227.5,Other
10000,1000,No,No, 1.5% + 0p,Contracted Services,150.0,Other
50000,5000,Yes,No, 1% + 0p,Retail Outlet Services,500.0,Other
250000,30,Yes,No, 0.39% + 3p,Retail Outlet Services,1393.0,Other
150000,30,No,Yes, 0.5% + 2p,Retail Outlet Services,913.0000000000001,Other
45000,15,No,Yes, 0.49% + 2.5p,Miscellaneous Stores,400.65,Other
12000,15,No,No, 1% + 0p,Retail Outlet Services,120.00000000000001,Other
480000,2,No,Yes, 0.99% + 0p,Retail Outlet Services,4847.999999999999,Other
200000,1000,Yes,Yes, 0.55% + 2p,Business Services,1188.0000000000002,Other
300000,750,Yes,Yes, 0.42% + 2p,Retail Outlet Services,1399.9999999999998,Other
550000,55,Yes,Yes, 0.39% + 3p,Professional Services and Membership Organizations,2814.6000000000004,Other
10000,5,No,No, 1.5% + 0p,Transportation Services,150.0,Other
5000,5,No,No, 1.75% + 0p,Professional Services and Membership Organizations,87.50000000000001,Other
80000,500,Yes,Yes, 0.49% + 2.5p,Miscellaneous Stores,453.6,Other
100000,100,Yes,No, 1% + 0p,Miscellaneous Stores,1000.0,Other
200000,20,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,3379.9999999999995,Other
28000,10,No,No, 1.5% + 0p,Retail Outlet Services,420.0,Other
250000,8,Yes,Yes, 0.45% + 2p,Retail Outlet Services,1855.0000000000002,Other
100000,10,No,No, 1% + 0p,Miscellaneous Stores,1000.0,Other
20000,10,Yes,Yes, 1% + 0p,Business Services,200.0,Other
730000,80,Yes,Yes, 0.42% + 2.5p,Miscellaneous Stores,3817.1699999999996,Other
10000,20,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,168.99999999999997,Other
25000,50,No,No, 1.5% + 0p,Business Services,375.0,Other
200,28,Yes,Yes, 1.69% + 0p,Professional Services and Membership Organizations,3.38,Other
80000,50,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,1351.9999999999998,Other
50000,20,No,No, 1.5% + 0p,Retail Outlet Services,750.0,Other
300000,20,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1821.6000000000001,Other
12000,2000,Yes,No, 1% + 0p,Travel,120.00000000000001,Other
100000,400,No,Yes, 0.55% + 2p,Miscellaneous Stores,597.0000000000001,Other
70000,20,No,Yes, 0.49% + 2.5p,Miscellaneous Stores,564.9,Other
300000,10,Yes,Yes, 0.4% + 3p,Miscellaneous Stores,2256.0,Other
800000,40,Yes,Yes, 0.28% + 2p,Miscellaneous Stores,3024.0,Other
2100000,3000,Yes,Yes, 0.41% + 2.5p,Miscellaneous Stores,9464.0,Other
25000,350,No,Yes, 1.69% + 0p,Agricultural Services,422.49999999999994,Other
37908,10000,Yes,Yes, 1.5% + 0p,Contracted Services,568.62,Other
1000000,500,Yes,No, 0.28% + 2p,Business Services,3320.0,Other
120000,15,Yes,Yes, 1% + 0p,Miscellaneous Stores,1200.0,Other
5000,250,No,No, 1.69% + 0p,Business Services,84.49999999999999,Other
640000,80,No,No, 0.35% + 2p,Business Services,2688.0,Other
50000,310,Yes,Yes, 0.49% + 2.5p,Miscellaneous Stores,286.56451612903226,Other
300000,150,No,Yes, 0.42% + 2p,Transportation Services,1431.9999999999998,Other
50000,11,Yes,No, 0.65% + 2p,Miscellaneous Stores,439.4090909090909,Other
48000,3000,Yes,Yes, 0.49% + 2.5p,Contracted Services,268.16,Other
4000,73,Yes,No, 0.8% + 2p,Retail Outlet Services,34.5358904109589,Other
120000,15,No,Yes, 0.5% + 2p,Miscellaneous Stores,810.4,Other
8000,30,No,No, 1.5% + 0p,Miscellaneous Stores,119.99999999999999,Other
250000,3000,Yes,No, 1.5% + 0p,Retail Outlet Services,3750.0,Other
2500,30,No,No, 1.69% + 0p,Miscellaneous Stores,42.24999999999999,Other
1000,190,Yes,No, 1.69% + 0p,Professional Services and Membership Organizations,16.9,Other
5000,20,No,No, 1.5% + 0p,Miscellaneous Stores,75.0,Other
200000,10,Yes,Yes, 0.45% + 2p,Miscellaneous Stores,1392.0000000000002,Other
100000,150,No,No, 0.4% + 3p,Retail Outlet Services,502.0,Other
170000,12,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1202.24,Other
1000,25,No,No, 1.69% + 0p,Business Services,16.9,Other
80000,30,No,Yes, 1% + 0p,Agricultural Services,800.0,Other
1200000,30,Yes,Yes, 0.4% + 2.5p,Retail Outlet Services,7572.799999999999,Other
200000,17,No,No, 1.75% + 0p,Miscellaneous Stores,3500.0000000000005,Other
25000,50,No,No, 1% + 0p,Miscellaneous Stores,250.0,Other
1500000,400,Yes,Yes, 0.36% + 3p,Miscellaneous Stores,6451.5,Other
350000,10,Yes,Yes, 0.43% + 2.5p,Retail Outlet Services,3406.9,Other
250000,8000,Yes,Yes, 0.43% + 2.5p,Miscellaneous Stores,1185.0625,Other
