Annual Card Turnover,Average Transaction Amount,Is Registered,Accepts Card,Mastercard Debit,Visa Debit,Mastercard Credit,Visa Credit,Mastercard Business Debit,Visa Business Debit,MCC Category,MCC Category group,Total Annual Transaction Fees,Current Provider Grouped
100000,10,Yes,Yes,0.0398,0.0398,0.0524,0.0524,0.065,0.065,Miscellaneous Stores,Miscellaneous Stores,792.0000000000001,Other
10000,1000,Yes,Yes,6.300000000000001,6.300000000000001,6.300000000000001,6.300000000000001,6.300000000000001,6.300000000000001,Retail Outlet Services,Other,175.00000000000003,Other
60000,307,Yes,Yes,0.49418400000000007,0.49418400000000007,1.090992,1.090992,1.63254,1.63254,Miscellaneous Stores,Miscellaneous Stores,296.1431921824104,Other
800000,30,Yes,Yes,0.05024000000000001,0.05024000000000001,0.0956,0.0956,0.128,0.128,Professional Services and Membership Organizations,Other,3157.3333333333335,Other
400000,7,Yes,Yes,0.030080000000000003,0.030080000000000003,0.04016,0.04016,0.04646000000000001,0.04646000000000001,Miscellaneous Stores,Miscellaneous Stores,2922.857142857143,Other
100000,15,No,Yes,0.081,0.081,0.081,0.081,0.081,0.081,Miscellaneous Stores,Miscellaneous Stores,1500.0,Other
20000,80,Yes,No,0.28800000000000003,0.28800000000000003,0.28800000000000003,0.28800000000000003,0.28800000000000003,0.28800000000000003,Miscellaneous Stores,Miscellaneous Stores,200.0,None
200000,5000,Yes,No,7.59,7.59,17.31,17.31,26.13,26.13,Contracted Services,Other,968.7999999999998,None
5000,10,Yes,No,0.06300000000000001,0.06300000000000001,0.06300000000000001,0.06300000000000001,0.06300000000000001,0.06300000000000001,Professional Services and Membership Organizations,Other,87.50000000000001,None
2000000,2478,Yes,Yes,2.4286160000000003,2.4286160000000003,4.92644,4.92644,8.49476,8.49476,Miscellaneous Stores,Miscellaneous Stores,6136.142050040356,Other
1200000,40,Yes,Yes,0.06032000000000001,0.06032000000000001,0.12079999999999999,0.12079999999999999,0.164,0.164,Retail Outlet Services,Other,4536.0,Other
300000,200,Yes,No,0.31079999999999997,0.31079999999999997,0.6708000000000001,0.6708000000000001,1.2900000000000003,1.2900000000000003,Clothing Stores,Other,1416.6000000000001,None
20000,120,No,Yes,0.43200000000000005,0.43200000000000005,0.43200000000000005,0.43200000000000005,0.43200000000000005,0.43200000000000005,Miscellaneous Stores,Miscellaneous Stores,200.0,Other
135000,625,No,Yes,1.2575,1.2575,2.0450000000000004,2.0450000000000004,2.8325,2.8325,Business Services,Other,803.5200000000002,Other
20000,40,Yes,No,0.13520000000000001,0.13520000000000001,0.13520000000000001,0.13520000000000001,0.3944000000000001,0.3944000000000001,Miscellaneous Stores,Miscellaneous Stores,177.20000000000002,None
80000,50,No,Yes,0.1382,0.1382,0.21200000000000002,0.21200000000000002,0.446,0.446,Miscellaneous Stores,Miscellaneous Stores,525.6,Other
125000,34,Yes,No,0.11792000000000002,0.11792000000000002,0.11792000000000002,0.11792000000000002,0.3382400000000001,0.3382400000000001,Miscellaneous Stores,Miscellaneous Stores,1118.5294117647059,None
365000,11,Yes,Yes,0.036632,0.036632,0.051680000000000004,0.051680000000000004,0.06356,0.06356,Retail Outlet Services,Other,2357.2363636363634,Other
50000,2500,Yes,No,5.42,5.42,8.120000000000001,8.120000000000001,12.170000000000002,12.170000000000002,Retail Outlet Services,Other,319.90000000000003,None
500,2000,No,Yes,10.799999999999999,10.799999999999999,10.799999999999999,10.799999999999999,10.799999999999999,10.799999999999999,Miscellaneous Stores,Miscellaneous Stores,7.499999999999999,Other
