Annual Card Turnover,Average Transaction Amount,Is Registered,Accepts Card,Mastercard Debit,Visa Debit,Mastercard Credit,Visa Credit,Mastercard Business Debit,Visa Business Debit,MCC Category,MCC Category group,Total Annual Transaction Fees,Current Provider Grouped
100000,10,Yes,Yes,0.003980000000000001,0.0049700000000000005,0.002288,0.002432,0.0021,0.00215,Miscellaneous Stores,Miscellaneous Stores,792.0000000000001,Other
10000,1000,Yes,Yes,0.006300000000000001,0.009450000000000002,0.0005600000000000001,0.0008400000000000001,0.00014000000000000001,0.00021000000000000004,Retail Outlet Services,Other,175.00000000000003,Other
60000,307,Yes,Yes,0.0016097198697068405,0.0023657198697068405,0.0004049198697068404,0.0005585198697068403,0.0002137198697068404,0.0002717198697068404,Miscellaneous Stores,Miscellaneous Stores,296.1431921824104,Other
800000,30,Yes,Yes,0.0016746666666666668,0.002178666666666667,0.0008906666666666666,0.0010026666666666667,0.0007466666666666666,0.0007866666666666666,Professional Services and Membership Organizations,Other,3157.3333333333335,Other
400000,7,Yes,Yes,0.004297142857142857,0.005017142857142857,0.0031131428571428573,0.0032411428571428574,0.002941142857142857,0.002983142857142857,Miscellaneous Stores,Miscellaneous Stores,2922.857142857143,Other
100000,15,No,Yes,0.0054,0.0081,0.00048,0.0007199999999999999,0.00012,0.00017999999999999998,Miscellaneous Stores,Miscellaneous Stores,1500.0,Other
20000,80,Yes,No,0.0036000000000000003,0.0054,0.00032,0.00048,8e-05,0.00012,Miscellaneous Stores,Miscellaneous Stores,200.0,None
200000,5000,Yes,No,0.001518,0.002274,0.00031319999999999997,0.00046679999999999996,0.000122,0.00018,Contracted Services,Other,968.7999999999998,None
5000,10,Yes,No,0.006300000000000001,0.009450000000000002,0.0005600000000000001,0.0008400000000000001,0.00014000000000000001,0.00021000000000000004,Professional Services and Membership Organizations,Other,87.50000000000001,None
2000000,2478,Yes,Yes,0.0009800710250201777,0.0014660710250201776,0.0001840710250201776,0.0002720710250201776,8.407102502017757e-05,0.00012207102502017757,Miscellaneous Stores,Miscellaneous Stores,6136.142050040356,Other
1200000,40,Yes,Yes,0.0015080000000000002,0.0020120000000000003,0.000724,0.0008359999999999999,0.00058,0.00062,Retail Outlet Services,Other,4536.0,Other
300000,200,Yes,No,0.0015540000000000003,0.002256,0.00043479999999999994,0.0005772,0.00029,0.00036,Clothing Stores,Other,1416.6000000000001,None
20000,120,No,Yes,0.0036000000000000003,0.0054,0.00032,0.00048,8e-05,0.00012,Miscellaneous Stores,Miscellaneous Stores,200.0,Other
135000,625,No,Yes,0.0020120000000000003,0.0030020000000000003,0.0003200000000000001,0.00046400000000000006,0.000132,0.000182,Business Services,Other,803.5200000000002,Other
20000,40,Yes,No,0.00338,0.00482,0.0007559999999999999,0.000884,0.0007080000000000001,0.000812,Miscellaneous Stores,Miscellaneous Stores,177.20000000000002,None
80000,50,No,Yes,0.002764,0.003646,0.001288,0.0014320000000000001,0.001176,0.001264,Miscellaneous Stores,Miscellaneous Stores,525.6,Other
125000,34,Yes,No,0.003468235294117647,0.004908235294117647,0.0008442352941176469,0.000972235294117647,0.0007962352941176471,0.000900235294117647,Miscellaneous Stores,Miscellaneous Stores,1118.5294117647059,None
365000,11,Yes,Yes,0.003330181818181818,0.004086181818181819,0.0020741818181818183,0.0022021818181818184,0.0019061818181818182,0.0019501818181818181,Retail Outlet Services,Other,2357.2363636363634,Other
50000,2500,Yes,No,0.0021680000000000007,0.0032480000000000005,0.00029600000000000004,0.00044,0.00011600000000000001,0.00017000000000000004,Retail Outlet Services,Other,319.90000000000003,None
500,2000,No,Yes,0.0054,0.0081,0.00048,0.0007199999999999999,0.00012,0.00017999999999999998,Miscellaneous Stores,Miscellaneous Stores,7.499999999999999,Other
20000,10,No,No,0.006300000000000001,0.009450000000000002,0.0005600000000000001,0.0008400000000000001,0.00014000000000000001,0.00021000000000000004,Miscellaneous Stores,Miscellaneous Stores,350.00000000000006,None
2500000,8000,Yes,No,0.0014425,0.0021625,0.0002585,0.0003865,8.650000000000002e-05,0.0001285,Miscellaneous Stores,Miscellaneous Stores,11131.25,None
500000,4000,Yes,No,0.001445,0.002165,0.000261,0.000389,8.900000000000001e-05,0.000131,Professional Services and Membership Organizations,Other,2227.5,None
10000,1000,No,No,0.0054,0.0081,0.00048,0.0007199999999999999,0.00012,0.00017999999999999998,Contracted Services,Other,150.0,None
50000,5000,Yes,No,0.0036000000000000003,0.0054,0.00032,0.00048,8e-05,0.00012,Retail Outlet Services,Other,500.0,None
250000,30,Yes,No,0.0024040000000000003,0.0031060000000000003,0.0012848,0.0014272,0.00114,0.0012100000000000001,Retail Outlet Services,Other,1393.0,None
150000,30,No,Yes,0.002466666666666667,0.0033666666666666667,0.0009386666666666666,0.0010746666666666667,0.0007626666666666667,0.0008106666666666667,Retail Outlet Services,Other,913.0000000000001,Other
45000,15,No,Yes,0.005097333333333334,0.005979333333333333,0.0036213333333333336,0.0037653333333333336,0.0035093333333333335,0.0035973333333333335,Miscellaneous Stores,Miscellaneous Stores,400.65,Other
12000,15,No,No,0.0036000000000000003,0.0054,0.00032,0.00048,8e-05,0.00012,Retail Outlet Services,Other,120.00000000000001,None
480000,2,No,Yes,0.003564,0.005346,0.0003168,0.00047519999999999995,0.00015920000000000002,0.0002388,Retail Outlet Services,Other,4847.999999999999,Other
200000,1000,Yes,Yes,0.0020000000000000005,0.0029900000000000005,0.00030800000000000006,0.00045200000000000004,0.00012,0.00017,Business Services,Other,1188.0000000000002,Other
300000,750,Yes,Yes,0.0015386666666666667,0.0022946666666666666,0.00028266666666666663,0.00041066666666666666,0.00011466666666666667,0.00015866666666666668,Retail Outlet Services,Other,1399.9999999999998,Other
550000,55,Yes,Yes,0.0019494545454545459,0.002651454545454546,0.0008302545454545455,0.0009726545454545456,0.0006854545454545455,0.0007554545454545455,Professional Services and Membership Organizations,Other,2814.6000000000004,Other
10000,5,No,No,0.0054,0.0081,0.00048,0.0007199999999999999,0.00012,0.00017999999999999998,Transportation Services,Other,150.0,None
5000,5,No,No,0.006300000000000001,0.009450000000000002,0.0005600000000000001,0.0008400000000000001,0.00014000000000000001,0.00021000000000000004,Professional Services and Membership Organizations,Other,87.50000000000001,None
80000,500,Yes,Yes,0.0018640000000000002,0.0027459999999999997,0.00038800000000000005,0.000532,0.00027600000000000004,0.000364,Miscellaneous Stores,Miscellaneous Stores,453.6,Other
100000,100,Yes,No,0.0036000000000000003,0.0054,0.00032,0.00048,8e-05,0.00012,Miscellaneous Stores,Miscellaneous Stores,1000.0,None
200000,20,Yes,Yes,0.006084,0.009126,0.0005407999999999999,0.0008112,0.00013519999999999998,0.0002028,Miscellaneous Stores,Miscellaneous Stores,3379.9999999999995,Other
28000,10,No,No,0.0054,0.0081,0.00048,0.0007199999999999999,0.00012,0.00017999999999999998,Retail Outlet Services,Other,420.0,None
250000,8,Yes,Yes,0.00412,0.00493,0.002756,0.0028840000000000003,0.002592,0.002638,Retail Outlet Services,Other,1855.0000000000002,Other
100000,10,No,No,0.0036000000000000003,0.0054,0.00032,0.00048,8e-05,0.00012,Miscellaneous Stores,Miscellaneous Stores,1000.0,None
20000,10,Yes,Yes,0.0036000000000000003,0.0054,0.00032,0.00048,8e-05,0.00012,Business Services,Other,200.0,Other
730000,80,Yes,Yes,0.002137,0.002893,0.0008746,0.0009994000000000001,0.000705,0.000745,Miscellaneous Stores,Miscellaneous Stores,3817.1699999999996,Other
10000,20,Yes,Yes,0.006084,0.009126,0.0005407999999999999,0.0008112,0.00013519999999999998,0.0002028,Miscellaneous Stores,Miscellaneous Stores,168.99999999999997,Other
25000,50,No,No,0.0054,0.0081,0.00048,0.0007199999999999999,0.00012,0.00017999999999999998,Business Services,Other,375.0,None
