Average Transaction Amount,Is Registered,Accepts Card,Total Annual Transaction Fees,MCC_Category_Agricultural Services,MCC_Category_Business Services,MCC_Category_Clothing Stores,MCC_Category_Contracted Services,MCC_Category_Miscellaneous Stores,MCC_Category_Professional Services and Membership Organizations,MCC_Category_Retail Outlet Services,MCC_Category_Transportation Services,MCC_Category_Travel,MCC_Category_Utility Services,Transaction_per_Unit_Turnover,Current Provider
10,1,1,593.1840000000001,False,False,False,False,True,False,False,False,False,False,0.0001,0
1000,1,1,175.00000000000003,False,False,False,False,False,False,True,False,False,False,0.1,0
307,1,1,290.30836612377846,False,False,False,False,True,False,False,False,False,False,0.005116666666666667,0
30,1,1,2625.749333333333,False,False,False,False,False,True,False,False,False,False,3.75e-05,0
7,1,1,1785.0857142857142,False,False,False,False,True,False,False,False,False,False,1.75e-05,0
15,0,1,1500.0,False,False,False,False,True,False,False,False,False,False,0.00015,0
80,1,0,200.0,False,False,False,False,True,False,False,False,False,False,0.004,1
5000,1,0,967.6058055999998,False,False,False,True,False,False,False,False,False,False,0.025,1
10,1,0,87.50000000000001,False,False,False,False,False,True,False,False,False,False,0.002,1
2478,1,1,6120.049394673123,False,False,False,False,True,False,False,False,False,False,0.001239,0
40,1,1,3937.968,False,False,False,False,False,False,True,False,False,False,3.3333333333333335e-05,0
200,1,0,1371.8057400000002,False,False,True,False,False,False,False,False,False,False,0.0006666666666666666,1
120,0,1,200.0,False,False,False,False,True,False,False,False,False,False,0.006,0
625,0,1,799.2255744000001,False,True,False,False,False,False,False,False,False,False,0.004629629629629629,0
40,1,0,167.2836,False,False,False,False,True,False,False,False,False,False,0.002,1
50,0,1,446.0456,False,False,False,False,True,False,False,False,False,False,0.000625,0
34,1,0,1045.6147058823528,False,False,False,False,True,False,False,False,False,False,0.000272,1
11,1,1,1696.6792727272727,False,False,False,False,False,False,True,False,False,False,3.0136986301369862e-05,0
2500,1,0,319.5025560000001,False,False,False,False,False,False,True,False,False,False,0.05,1
2000,0,1,7.499999999999999,False,False,False,False,True,False,False,False,False,False,4.0,0
10,0,0,350.00000000000006,False,False,False,False,True,False,False,False,False,False,0.0005,1
8000,1,0,11125.0278125,False,False,False,False,True,False,False,False,False,False,0.0032,1
4000,1,0,2225.011125,False,False,False,False,False,True,False,False,False,False,0.008,1
1000,0,0,150.0,False,False,False,True,False,False,False,False,False,False,0.1,1
5000,1,0,500.0,False,False,False,False,False,False,True,False,False,False,0.1,1
30,1,0,1144.143,False,False,False,False,False,False,True,False,False,False,0.00012,1
30,0,1,813.5420000000001,False,False,False,False,False,False,True,False,False,False,0.0002,0
15,0,1,251.4855,False,False,False,False,True,False,False,False,False,False,0.0003333333333333333,0
15,0,0,120.0,False,False,False,False,False,False,True,False,False,False,0.00125,1
2,0,1,4847.999999999999,False,False,False,False,False,False,True,False,False,False,4.166666666666667e-06,0
1000,1,1,1184.0236800000002,False,True,False,False,False,False,False,False,False,False,0.005,0
750,1,1,1392.0371199999995,False,False,False,False,False,False,True,False,False,False,0.0025,0
55,1,1,2515.9716000000003,False,False,False,False,False,True,False,False,False,False,0.0001,0
5,0,0,150.0,False,False,False,False,False,False,False,True,False,False,0.0005,1
5,0,0,87.50000000000001,False,False,False,False,False,True,False,False,False,False,0.001,1
500,1,1,445.64456,False,False,False,False,True,False,False,False,False,False,0.00625,0
100,1,0,1000.0,False,False,False,False,True,False,False,False,False,False,0.001,1
20,1,1,3379.9999999999995,False,False,False,False,True,False,False,False,False,False,0.0001,0
10,0,0,420.0,False,False,False,False,False,False,True,False,False,False,0.00035714285714285714,1
8,1,1,1233.0750000000005,False,False,False,False,False,False,True,False,False,False,3.2e-05,0
10,0,0,1000.0,False,False,False,False,True,False,False,False,False,False,0.0001,1
10,1,1,200.0,False,True,False,False,False,False,False,False,False,False,0.0005,0
80,1,1,3363.020575,False,False,False,False,True,False,False,False,False,False,0.00010958904109589041,0
20,1,1,168.99999999999997,False,False,False,False,True,False,False,False,False,False,0.002,0
50,0,0,375.0,False,True,False,False,False,False,False,False,False,False,0.002,1
28,1,1,3.38,False,False,False,False,False,True,False,False,False,False,0.14,0
50,1,1,1351.9999999999998,False,False,False,False,True,False,False,False,False,False,0.000625,0
20,0,0,750.0,False,False,False,False,False,False,True,False,False,False,0.0004,1
20,1,1,1373.6574,False,False,False,False,True,False,False,False,False,False,6.666666666666667e-05,0
2000,1,0,120.0,False,False,False,False,False,False,False,False,True,False,0.16666666666666666,1
400,0,1,592.0296000000001,False,False,False,False,True,False,False,False,False,False,0.004,0
20,0,1,390.87475,False,False,False,False,True,False,False,False,False,False,0.00028571428571428574,0
10,1,1,1360.068,False,False,False,False,True,False,False,False,False,False,3.3333333333333335e-05,0
40,1,1,2625.312,False,False,False,False,True,False,False,False,False,False,5e-05,0
3000,1,1,9429.15715,False,False,False,False,True,False,False,False,False,False,0.0014285714285714286,0
350,0,1,422.5,True,False,False,False,False,False,False,False,False,False,0.014,0
10000,1,1,568.62,False,False,False,True,False,False,False,False,False,False,0.2637965600928564,0
500,1,0,3280.1312,False,True,False,False,False,False,False,False,False,False,0.0005,1
15,1,1,1200.0,False,False,False,False,True,False,False,False,False,False,0.000125,0
250,0,0,84.49999999999999,False,True,False,False,False,False,False,False,False,False,0.05,1
80,0,0,2528.632,False,True,False,False,False,False,False,False,False,False,0.000125,1
310,1,1,278.5449193548387,False,False,False,False,True,False,False,False,False,False,0.0062,0
150,0,1,1392.1855999999998,False,False,False,False,False,False,False,True,False,False,0.0005,0
11,1,0,349.1336363636364,False,False,False,False,True,False,False,False,False,False,0.00022,1
3000,1,1,267.364456,False,False,False,True,False,False,False,False,False,False,0.0625,0
73,1,0,33.449161643835616,False,False,False,False,False,False,True,False,False,False,0.01825,1
15,0,1,651.2672,False,False,False,False,True,False,False,False,False,False,0.000125,0
30,0,0,120.0,False,False,False,False,True,False,False,False,False,False,0.00375,1
3000,1,0,3750.0,False,False,False,False,False,False,True,False,False,False,0.012,1
30,0,0,42.24999999999999,False,False,False,False,True,False,False,False,False,False,0.012,1
190,1,0,16.9,False,False,False,False,False,True,False,False,False,False,0.19,1
20,0,0,75.0,False,False,False,False,True,False,False,False,False,False,0.004,1
10,1,1,993.9840000000004,False,False,False,False,True,False,False,False,False,False,5e-05,0
150,0,0,482.0964,False,False,False,False,False,False,True,False,False,False,0.0015,1
12,1,1,779.1831000000001,False,False,False,False,True,False,False,False,False,False,7.058823529411764e-05,0
25,0,0,16.9,False,True,False,False,False,False,False,False,False,False,0.025,1
30,0,1,800.0,True,False,False,False,False,False,False,False,False,False,0.000375,0
30,1,1,5582.087999999999,False,False,False,False,False,False,True,False,False,False,2.5e-05,0
17,0,0,3500.0000000000005,False,False,False,False,True,False,False,False,False,False,8.5e-05,1
50,0,0,250.0,False,False,False,False,True,False,False,False,False,False,0.002,1
400,1,1,6339.475425,False,False,False,False,True,False,False,False,False,False,0.0002666666666666667,0
10,1,1,1665.1845,False,False,False,False,False,False,True,False,False,False,2.857142857142857e-05,0
8000,1,1,1183.507396875,False,False,False,False,True,False,False,False,False,False,0.032,0
