Annual Card Turnover,Average Transaction Amount,Is Registered,Accepts Card,Mastercard Debit,MCC Category,Total Annual Transaction Fees,Current Provider Grouped,MCC_Category_Agricultural Services,MCC_Category_Business Services,MCC_Category_Clothing Stores,MCC_Category_Contracted Services,MCC_Category_Miscellaneous Stores,MCC_Category_Professional Services and Membership Organizations,MCC_Category_Retail Outlet Services,MCC_Category_Transportation Services,MCC_Category_Travel,MCC_Category_Utility Services
100000,10,Yes,Yes, 0.55% + 2p,Miscellaneous Stores,593.1840000000001,Other,False,False,False,False,True,False,False,False,False,False
10000,1000,Yes,Yes, 1.75% + 0p,Retail Outlet Services,175.00000000000003,Other,False,False,False,False,False,False,True,False,False,False
60000,307,Yes,Yes, 0.42% + 3p,Miscellaneous Stores,290.30836612377846,Other,False,False,False,False,True,False,False,False,False,False
800000,30,Yes,Yes, 0.28% + 2p,Professional Services and Membership Organizations,2625.749333333333,Other,False,False,False,False,False,True,False,False,False,False
400000,7,Yes,Yes, 0.4% + 2p,Miscellaneous Stores,1785.0857142857142,Other,False,False,False,False,True,False,False,False,False,False
100000,15,No,Yes, 1.5% + 0p,Miscellaneous Stores,1500.0,Other,False,False,False,False,True,False,False,False,False,False
20000,80,Yes,No, 1% + 0p,Miscellaneous Stores,200.0,,False,False,False,False,True,False,False,False,False,False
200000,5000,Yes,No, 0.42% + 3p,Contracted Services,967.6058055999998,,False,False,False,True,False,False,False,False,False,False
5000,10,Yes,No, 1.75% + 0p,Professional Services and Membership Organizations,87.50000000000001,,False,False,False,False,False,True,False,False,False,False
2000000,2478,Yes,Yes, 0.27% + 2p,Miscellaneous Stores,6120.049394673123,Other,False,False,False,False,True,False,False,False,False,False
1200000,40,Yes,Yes, 0.28% + 2p,Retail Outlet Services,3937.968,Other,False,False,False,False,False,False,True,False,False,False
300000,200,Yes,No, 0.39% + 3p,Clothing Stores,1371.8057400000002,,False,False,True,False,False,False,False,False,False,False
20000,120,No,Yes, 1% + 0p,Miscellaneous Stores,200.0,Other,False,False,False,False,True,False,False,False,False,False
135000,625,No,Yes, 0.55% + 2p,Business Services,799.2255744000001,Other,False,True,False,False,False,False,False,False,False,False
20000,40,Yes,No, 0.8% + 2p,Miscellaneous Stores,167.2836,,False,False,False,False,True,False,False,False,False,False
80000,50,No,Yes, 0.49% + 2.5p,Miscellaneous Stores,446.0456,Other,False,False,False,False,True,False,False,False,False,False
125000,34,Yes,No, 0.8% + 2p,Miscellaneous Stores,1045.6147058823528,,False,False,False,False,True,False,False,False,False,False
365000,11,Yes,Yes, 0.42% + 2p,Retail Outlet Services,1696.6792727272727,Other,False,False,False,False,False,False,True,False,False,False
50000,2500,Yes,No, 0.6% + 2p,Retail Outlet Services,319.5025560000001,,False,False,False,False,False,False,True,False,False,False
500,2000,No,Yes, 1.5% + 0p,Miscellaneous Stores,7.499999999999999,Other,False,False,False,False,True,False,False,False,False,False
20000,10,No,No, 1.75% + 0p,Miscellaneous Stores,350.00000000000006,,False,False,False,False,True,False,False,False,False,False
2500000,8000,Yes,No, 0.4% + 2p,Miscellaneous Stores,11125.0278125,,False,False,False,False,True,False,False,False,False,False
500000,4000,Yes,No, 0.4% + 2p,Professional Services and Membership Organizations,2225.011125,,False,False,False,False,False,True,False,False,False,False
10000,1000,No,No, 1.5% + 0p,Contracted Services,150.0,,False,False,False,True,False,False,False,False,False,False
50000,5000,Yes,No, 1% + 0p,Retail Outlet Services,500.0,,False,False,False,False,False,False,True,False,False,False
250000,30,Yes,No, 0.39% + 3p,Retail Outlet Services,1144.143,,False,False,False,False,False,False,True,False,False,False
150000,30,No,Yes, 0.5% + 2p,Retail Outlet Services,813.5420000000001,Other,False,False,False,False,False,False,True,False,False,False
45000,15,No,Yes, 0.49% + 2.5p,Miscellaneous Stores,251.4855,Other,False,False,False,False,True,False,False,False,False,False
12000,15,No,No, 1% + 0p,Retail Outlet Services,120.0,,False,False,False,False,False,False,True,False,False,False
480000,2,No,Yes, 0.99% + 0p,Retail Outlet Services,4847.999999999999,Other,False,False,False,False,False,False,True,False,False,False
200000,1000,Yes,Yes, 0.55% + 2p,Business Services,1184.0236800000002,Other,False,True,False,False,False,False,False,False,False,False
300000,750,Yes,Yes, 0.42% + 2p,Retail Outlet Services,1392.0371199999995,Other,False,False,False,False,False,False,True,False,False,False
550000,55,Yes,Yes, 0.39% + 3p,Professional Services and Membership Organizations,2515.9716000000003,Other,False,False,False,False,False,True,False,False,False,False
10000,5,No,No, 1.5% + 0p,Transportation Services,150.0,,False,False,False,False,False,False,False,True,False,False
5000,5,No,No, 1.75% + 0p,Professional Services and Membership Organizations,87.50000000000001,,False,False,False,False,False,True,False,False,False,False
80000,500,Yes,Yes, 0.49% + 2.5p,Miscellaneous Stores,445.64456,Other,False,False,False,False,True,False,False,False,False,False
100000,100,Yes,No, 1% + 0p,Miscellaneous Stores,1000.0,,False,False,False,False,True,False,False,False,False,False
200000,20,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,3379.9999999999995,Other,False,False,False,False,True,False,False,False,False,False
28000,10,No,No, 1.5% + 0p,Retail Outlet Services,420.0,,False,False,False,False,False,False,True,False,False,False
250000,8,Yes,Yes, 0.45% + 2p,Retail Outlet Services,1233.0750000000005,Other,False,False,False,False,False,False,True,False,False,False
100000,10,No,No, 1% + 0p,Miscellaneous Stores,1000.0,,False,False,False,False,True,False,False,False,False,False
20000,10,Yes,Yes, 1% + 0p,Business Services,200.0,Other,False,True,False,False,False,False,False,False,False,False
730000,80,Yes,Yes, 0.42% + 2.5p,Miscellaneous Stores,3363.020575,Other,False,False,False,False,True,False,False,False,False,False
10000,20,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,168.99999999999997,Other,False,False,False,False,True,False,False,False,False,False
25000,50,No,No, 1.5% + 0p,Business Services,375.0,,False,True,False,False,False,False,False,False,False,False
200,28,Yes,Yes, 1.69% + 0p,Professional Services and Membership Organizations,3.38,Other,False,False,False,False,False,True,False,False,False,False
80000,50,Yes,Yes, 1.69% + 0p,Miscellaneous Stores,1351.9999999999998,Other,False,False,False,False,True,False,False,False,False,False
50000,20,No,No, 1.5% + 0p,Retail Outlet Services,750.0,,False,False,False,False,False,False,True,False,False,False
300000,20,Yes,Yes, 0.39% + 3p,Miscellaneous Stores,1373.6574,Other,False,False,False,False,True,False,False,False,False,False
12000,2000,Yes,No, 1% + 0p,Travel,120.0,,False,False,False,False,False,False,False,False,True,False
100000,400,No,Yes, 0.55% + 2p,Miscellaneous Stores,592.0296000000001,Other,False,False,False,False,True,False,False,False,False,False
70000,20,No,Yes, 0.49% + 2.5p,Miscellaneous Stores,390.87475,Other,False,False,False,False,True,False,False,False,False,False
300000,10,Yes,Yes, 0.4% + 3p,Miscellaneous Stores,1360.068,Other,False,False,False,False,True,False,False,False,False,False
800000,40,Yes,Yes, 0.28% + 2p,Miscellaneous Stores,2625.312,Other,False,False,False,False,True,False,False,False,False,False
2100000,3000,Yes,Yes, 0.41% + 2.5p,Miscellaneous Stores,9429.15715,Other,False,False,False,False,True,False,False,False,False,False
25000,350,No,Yes, 1.69% + 0p,Agricultural Services,422.5,Other,True,False,False,False,False,False,False,False,False,False
37908,10000,Yes,Yes, 1.5% + 0p,Contracted Services,568.62,Other,False,False,False,True,False,False,False,False,False,False
1000000,500,Yes,No, 0.28% + 2p,Business Services,3280.1312,,False,True,False,False,False,False,False,False,False,False
