Is Registered,Accepts Card,MCC_Category_Agricultural Services,MCC_Category_Business Services,MCC_Category_Clothing Stores,MCC_Category_Contracted Services,MCC_Category_Miscellaneous Stores,MCC_Category_Professional Services and Membership Organizations,MCC_Category_Retail Outlet Services,MCC_Category_Transportation Services,MCC_Category_Travel,MCC_Category_Utility Services,Current Provider,Transaction_per_Unit_Turnover_RobustScaled,Average_Transaction_Amount_Scaled,Total_Annual_Transaction_Fees_Scaled,Current pay
0,1,False,False,False,False,True,False,False,False,False,False,0,-0.1640852419399132,-0.2285714285714285,0.1237630840971499,Competitive
0,1,False,False,False,False,False,False,True,False,False,False,0,24.526967649805023,11.085714285714284,-0.2830065531130934,Non-Competitive
0,1,False,False,False,False,True,False,False,False,False,False,0,1.075822485857088,3.165714285714286,-0.1708455372553005,Non-Competitive
0,1,False,False,False,False,False,True,False,False,False,False,0,-0.1795325973526665,0.0,2.1008493983657908,Competitive
0,1,False,False,False,False,True,False,False,False,False,False,0,-0.1844757510847476,-0.2628571428571428,1.283131754132988,Competitive
1,1,False,False,False,False,True,False,False,False,False,False,0,-0.1517273576097105,-0.1714285714285714,1.0058274752179102,Neutral
0,0,False,False,False,False,True,False,False,False,False,False,1,0.799829735815895,0.5714285714285714,-0.2586889299370367,Neutral
0,0,False,False,False,True,False,False,False,False,False,False,1,5.990141154501016,56.8,0.4879650191963315,Non-Competitive
0,0,False,False,False,False,False,True,False,False,False,False,1,0.3055143626077882,-0.2285714285714285,-0.3681182342292917,Neutral
0,1,False,False,False,False,True,False,False,False,False,False,0,0.1174273631021036,27.97714285714286,5.499772284595099,Neutral
0,1,False,False,False,False,False,False,True,False,False,False,0,-0.18056242104685,0.1142857142857142,3.3772509607892918,Competitive
0,0,False,False,True,False,False,False,False,False,False,False,1,-0.0240292195309496,1.9428571428571428,0.881132286897373,Neutral
1,1,False,False,False,False,True,False,False,False,False,False,0,1.294145109024002,1.0285714285714285,-0.2586889299370367,Non-Competitive
1,1,False,True,False,False,False,False,False,False,False,False,0,0.9554475384925212,6.8,0.3241807386915758,Non-Competitive
0,0,False,False,False,False,True,False,False,False,False,False,1,0.3055143626077882,0.1142857142857142,-0.2905123334121224,Neutral
1,1,False,False,False,False,True,False,False,False,False,False,0,-0.0343274564727851,0.2285714285714285,-0.019359162539966,Neutral
0,0,False,False,False,False,True,False,False,False,False,False,1,-0.121574119844016,0.0457142857142857,0.5638446608541252,Neutral
0,1,False,False,False,False,False,False,True,False,False,False,0,-0.1813524227848539,-0.2171428571428571,1.197138372846818,Competitive
0,0,False,False,False,False,False,False,True,False,False,False,1,12.16908331960235,28.228571428571428,-0.1424482049216922,Non-Competitive
1,1,False,False,False,False,True,False,False,False,False,False,0,988.4419454056132,22.51428571428572,-0.4459346283926731,Non-Competitive
1,0,False,False,False,False,True,False,False,False,False,False,1,-0.0652221672982918,-0.2285714285714285,-0.1127831908806966,Neutral
0,0,False,False,False,False,True,False,False,False,False,False,1,0.6021035865326523,91.08571428571427,10.368139451355512,Neutral
0,0,False,False,False,False,False,True,False,False,False,False,1,1.7884604822321086,45.371428571428574,1.711049368665867,Non-Competitive
