Is Registered,Accepts Card,MCC Category group,Current pricing,Transaction Fees per Unit Turnover Scaled,Average Transaction Amount Scaled,Visa Credit Scaled,Annual Card Turnover Scaled,Visa Business Debit Scaled
1,1,0,Neutral,0.15288267875125888,0.0008861756597085466,0.07173420588975585,0.0017541232686289305,0.06766917293233082
1,1,1,Non-Competitive,0.45436807653575045,0.09836549822764869,0.019009895743637983,0.000175175484695303,0.003127287244660325
1,1,0,Competitive,0.05896651150890107,0.030129972430090586,0.009687756491410451,0.0010523686979917626,0.005180646407174144
1,1,1,Competitive,0.027840718361866412,0.002855454903505317,0.024397136813844325,0.014034828254779367,0.022312418213675782
1,1,0,Neutral,0.13359588548410306,0.0005907837731390312,0.09853162985490406,0.00701728254840769,0.09538701367831715
0,1,0,Non-Competitive,0.37569234642497495,0.0013784954706577393,0.015035701511518536,0.0017541232686289305,0.002129216847428305
1,0,0,Neutral,0.21834088620342407,0.007778653012997242,0.007087313047279662,0.000350614127354595,0.00013307605296426902
1,0,1,Competitive,0.05608006042296072,0.49222134698700276,0.006650151681746524,0.00350850969522185,0.0021292168474283057
1,0,1,Non-Competitive,0.45436807653575045,0.0008861756597085466,0.019009895743637983,8.745616336565703e-05,0.003127287244660325
1,1,0,Competitive,0.00019105693039329907,0.24389523434423,0.00020106193848535257,0.0350874653738944,0.00020197701178313815
1,1,1,Competitive,0.022595669687814707,0.0038400945254037015,0.018877422602567327,0.021052373961151043,0.016767582673497906
1,0,1,Competitive,0.05224068479355491,0.019594328475777866,0.010306410375296409,0.00526289612181477,0.008117639230820414
0,1,0,Neutral,0.21834088620342407,0.011717211500590784,0.007087313047279662,0.000350614127354595,0.00013307605296426902
0,1,1,Competitive,0.09094914400805647,0.06144151240645923,0.0065574204829970725,0.0023681585179364524,0.0021957548739104404
1,0,0,Neutral,0.1824647532729105,0.0038400945254037015,0.020467100295415104,0.000350614127354595,0.023155233215782823
0,1,0,Neutral,0.11039778449144012,0.004824734147302088,0.038615920622093874,0.0014032459833103466,0.038192827200745225
1,0,0,Neutral,0.18524154374740842,0.0032493107522646707,0.023389301936679395,0.0021927198752771603,0.026090734384112284
1,1,1,Neutral,0.10687883365375815,0.0009846396218983853,0.0641230217846059,0.006403247299100167,0.06102141919561574
1,0,1,Neutral,0.10498489425981879,0.24606144151240644,0.005762581636573184,0.0008769300553324709,0.0017965267150176338
0,1,0,Non-Competitive,0.3756923464249749,0.1968294604174872,0.015035701511518536,8.50877416897566e-06,0.002129216847428305
0,0,0,Non-Competitive,0.45436807653575045,0.0008861756597085466,0.019009895743637983,0.000350614127354595,0.003127287244660325
1,0,0,Competitive,0.0437594410876133,0.7876132335565184,0.003990753374753268,0.043859397506858994,0.0004158626655133414
1,0,1,Competitive,0.04383811681772408,0.39375738479716427,0.004073549087922424,0.008771668975000608,0.0004990351986160096
0,0,1,Non-Competitive,0.37569234642497495,0.09836549822764869,0.015035701511518536,0.000175175484695303,0.002129216847428305
1,0,1,Neutral,0.21834088620342407,0.49222134698700276,0.007087313047279662,0.0008769300553324709,0.00013307605296426902
1,0,1,Competitive,0.07899043303121854,0.002855454903505317,0.03845695285280909,0.00438570290851831,0.036396300485727597
0,1,1,Competitive,0.09518714333669022,0.002855454903505317,0.02678165335311599,0.00263131648192539,0.0231108745314614
0,1,0,Neutral,0.18382846592816388,0.0013784954706577393,0.11589191957997183,0.0007892107340028248,0.11582052476323552
0,0,1,Neutral,0.21834088620342412,0.0013784954706577393,0.007087313047279662,0.00021026321322716138,0.00013307605296426902
0,1,1,Non-Competitive,0.221487915407855,9.846396218983852e-05,0.006928345277994885,0.008420791689682024,0.00408543482600306
1,1,1,Competitive,0.09057150050352474,0.09836549822764869,0.006160001059785128,0.00350850969522185,0.0017965267150176329
1,1,1,Competitive,0.05049932863376973,0.07374950768018905,0.004791111935388432,0.00526289612181477,0.0014194778982855373
1,1,1,Competitive,0.06468575482925938,0.00531705395825128,0.023403186822053647,0.009648862188297068,0.021274021739787926
0,0,1,Non-Competitive,0.37569234642497495,0.000393855848759354,0.015035701511518536,0.000175175484695303,0.002129216847428305
0,0,1,Non-Competitive,0.45436807653575045,0.000393855848759354,0.019009895743637983,8.745616336565703e-05,0.003127287244660325
1,1,0,Competitive,0.08207452165156097,0.04913351713272942,0.008809463881198088,0.0014032459833103466,0.008250715283784684
1,0,0,Neutral,0.21834088620342407,0.009747932256794014,0.007087313047279662,0.0017541232686289305,0.00013307605296426902
1,1,0,Non-Competitive,0.43548590130916426,0.0018708152816069316,0.01805608912792931,0.00350850969522185,0.002887750349324639
0,0,1,Non-Competitive,0.37569234642497495,0.0008861756597085466,0.015035701511518536,0.0004909650414820285,0.002129216847428305
1,1,1,Neutral,0.1371475327291038,0.0006892477353288697,0.08670367083073907,0.00438570290851831,0.08390445139397165
0,0,0,Neutral,0.21834088620342407,0.0008861756597085466,0.007087313047279662,0.0017541232686289305,0.00013307605296426902
1,1,1,Neutral,0.21834088620342407,0.0008861756597085466,0.007087313047279662,0.000350614127354595,0.00013307605296426902
1,1,0,Competitive,0.06819612286002015,0.007778653012997242,0.024288950415303295,0.012806757756164322,0.020926209328631314
1,1,0,Non-Competitive,0.43548590130916426,0.0018708152816069316,0.01805608912792931,0.000175175484695303,0.002887750349324639
0,0,1,Non-Competitive,0.37569234642497495,0.004824734147302088,0.015035701511518536,0.00043833344868424097,0.002129216847428305
1,1,1,Non-Competitive,0.43548590130916426,0.00265852697912564,0.01805608912792931,3.245614889196901e-06,0.002887750349324639
1,1,0,Non-Competitive,0.43548590130916426,0.004824734147302088,0.01805608912792931,0.0014032459833103466,0.002887750349324639
0,0,1,Non-Competitive,0.37569234642497495,0.0018708152816069316,0.015035701511518536,0.0008769300553324709,0.002129216847428305
1,1,0,Competitive,0.09472557905337366,0.0018708152816069316,0.055016095486640076,0.00526289612181477,0.05303080710626123
1,0,1,Neutral,0.21834088620342412,0.1968294604174872,0.007087313047279662,0.00021026321322716138,0.00013307605296426902
0,1,0,Competitive,0.09151560926485404,0.03928712091374557,0.007153549617814987,0.0017541232686289305,0.002794597112249651
0,1,0,Neutral,0.15760322255790538,0.0018708152816069316,0.08829334852358685,0.0012278073406510545,0.08809634706234613
1,1,0,Neutral,0.1402945619335348,0.0008861756597085466,0.10485249115741783,0.00526289612181477,0.09994011577616607
1,1,0,Competitive,0.022595669687814707,0.0038400945254037015,0.018877422602567327,0.014034828254779367,0.016767582673497906
1,1,0,Competitive,0.045464081906680096,0.2952934226073257,0.0036650902362879243,0.03684185180048732,0.000687559606982057
0,1,1,Non-Competitive,0.43548590130916426,0.03436392280425364,0.01805608912792931,0.00043833344868424097,0.002887750349324639
1,1,1,Non-Competitive,0.37569234642497495,0.9845411579361953,0.015035701511518536,0.000664789648628855,0.002129216847428305
1,0,1,Competitive,0.008119335347432019,0.04913351713272942,0.0036430113794428155,0.017543601107965205,0.0014638365826069601
1,1,0,Neutral,0.21834088620342407,0.0013784954706577393,0.007087313047279662,0.0021050005539475143,0.00013307605296426902
0,0,1,Non-Competitive,0.43548590130916426,0.024517526585269792,0.01805608912792931,8.745616336565703e-05,0.002887750349324639
0,0,1,Competitive,0.03581319234642498,0.007778653012997242,0.01139269013207572,0.011227809972230695,0.008450329363231085
1,1,0,Competitive,0.08400334600266383,0.0304253643166601,0.010839294268570917,0.0008769300553324709,0.010289783837269452
0,1,1,Competitive,0.0538561597851628,0.014671130366285938,0.008323729030605713,0.00526289612181477,0.00496817264399938
1,0,0,Neutral,0.1802046141170009,0.0009846396218983853,0.06809721601672533,0.0008769300553324709,0.062219103672294176
1,1,1,Competitive,0.0794519973145351,0.2952934226073257,0.0060496067755595895,0.0008418423268006124,0.005478297513695744
1,0,1,Neutral,0.17535160507111425,0.0070894052776683735,0.012981460474642189,6.991229909972783e-05,0.015635524743486798
0,1,0,Neutral,0.11616733803289699,0.0013784954706577393,0.048860510198223975,0.0021050005539475143,0.04529021669217291
0,0,0,Non-Competitive,0.3756923464249749,0.002855454903505317,0.015035701511518536,0.0001400877561634446,0.002129216847428305
1,0,1,Non-Competitive,0.37569234642497495,0.2952934226073257,0.015035701511518536,0.00438570290851831,0.002129216847428305
0,0,0,Non-Competitive,0.43548590130916426,0.002855454903505317,0.01805608912792931,4.359650270083405e-05,0.002887750349324639
1,0,1,Non-Competitive,0.43548590130916426,0.01860968885387948,0.01805608912792931,1.7280706301940254e-05,0.002887750349324639
0,0,0,Non-Competitive,0.37569234642497495,0.0018708152816069316,0.015035701511518536,8.745616336565703e-05,0.002129216847428305
1,1,0,Neutral,0.1226711983887211,0.0008861756597085466,0.07093936704333197,0.00350850969522185,0.06726994477343802
0,0,1,Competitive,0.06161883182275933,0.014671130366285938,0.013710970100812061,0.0017541232686289305,0.011178388448998603
1,1,0,Neutral,0.12619587109768382,0.0010831035840882237,0.08813438075430206,0.002982193767243974,0.0862998203473285
0,0,1,Non-Competitive,0.43548590130916426,0.0023631350925561244,0.01805608912792931,1.7280706301940254e-05,0.002887750349324639
0,1,1,Neutral,0.21834088620342407,0.002855454903505317,0.007087313047279662,0.0014032459833103466,0.00013307605296426902
1,1,1,Neutral,0.10223648875461565,0.002855454903505317,0.058787164235784534,0.021052373961151043,0.05997294120256394
0,0,0,Non-Competitive,0.45436807653575045,0.0015754233950374162,0.019009895743637983,0.00350850969522185,0.003127287244660325
0,0,0,Neutral,0.21834088620342407,0.004824734147302088,0.007087313047279662,0.00043833344868424097,0.00013307605296426902
1,1,0,Competitive,0.038991691842900314,0.03928712091374557,0.00655079682594354,0.026315533240929802,0.005382926342404682
1,1,1,Neutral,0.20996978851963755,0.0008861756597085466,0.16997628730774839,0.006140089335111229,0.16647814225830063
1,1,0,Competitive,0.05281501762336356,0.7876132335565184,0.004591850252361335,0.00438570290851831,0.00034100738572093994
1,1,0,Non-Competitive,0.22462095781582192,0.0007877116975187081,0.1875804958322478,0.00263131648192539,0.18935243714004776
1,1,0,Neutral,0.11046072507552872,0.0013784954706577393,0.07157523812047108,0.00438570290851831,0.06966531372679487
1,1,1,Neutral,0.15468697549513266,0.0013784954706577393,0.1139843063485545,0.0027365796675209654,0.11542129660434272
1,1,1,Competitive,0.06010825780463243,0.00728633320204805,0.018585981692211907,0.003157632409903266,0.016434892541087237
0,0,0,Non-Competitive,0.3756923464249749,0.000393855848759354,0.015035701511518536,0.0001400877561634446,0.002129216847428305
0,1,0,Non-Competitive,0.43548590130916426,0.002855454903505317,0.01805608912792931,8.745616336565703e-05,0.002887750349324639
1,0,1,Non-Competitive,0.37569234642497495,0.002855454903505317,0.015035701511518536,0.0003155263988227366,0.002129216847428305
1,1,0,Competitive,0.05224068479355491,0.019594328475777866,0.010306410375296409,0.00350850969522185,0.008117639230820414
0,0,1,Non-Competitive,0.43548590130916426,0.0013784954706577393,0.01805608912792931,1.7280706301940254e-05,0.002887750349324639
1,1,0,Competitive,0.05417086270560591,0.005809373769200473,0.014947386084138104,0.008771668975000608,0.011422361212766428
1,1,1,Neutral,0.18239282117680916,0.0005907837731390312,0.14727417587512706,0.00263131648192539,0.14570877256352005
1,1,1,Competitive,0.06004531722054386,0.1968294604174872,0.005033979360684622,0.008771668975000608,0.0010646084237141526
1,1,0,Competitive,0.05451127108982094,0.03269003544702639,0.008562737628669511,0.00263131648192539,0.009519933134278732
0,0,0,Non-Competitive,0.37569234642497495,0.000393855848759354,0.015035701511518536,0.000175175484695303,0.002129216847428305
1,1,1,Competitive,0.05652064451158108,0.14759747932256792,0.007113807675493791,0.0010523686979917626,0.002594983032803247
0,1,0,Competitive,0.09162051023833505,0.0013784954706577393,0.048065671351800086,0.0066664052630891054,0.0448909885332801
0,0,0,Non-Competitive,0.3756923464249749,0.0008861756597085466,0.015035701511518536,1.7280706301940254e-05,0.002129216847428305
1,0,1,Neutral,0.13190248405505206,0.0013784954706577393,0.04965534904464786,0.0021050005539475143,0.04548983077161931
0,1,0,Competitive,0.0405337361530715,0.004824734147302088,0.01636043292222502,0.01263131911350503,0.01344068134939118
1,0,1,Non-Competitive,0.43548590130916426,0.019594328475777866,0.01805608912792931,0.0006137720913435328,0.002887750349324639
1,0,0,Non-Competitive,0.43548590130916426,0.14759747932256792,0.01805608912792931,0.000350614127354595,0.002887750349324639
1,1,1,Competitive,0.04777190332326285,0.04913351713272942,0.007484732470491607,0.00438570290851831,0.0021292168474283057
0,0,0,Non-Competitive,0.45436807653575045,0.0010831035840882237,0.019009895743637983,0.0017541232686289305,0.003127287244660325
0,0,1,Competitive,0.09466263846928501,0.009747932256794014,0.02205677798826288,0.0007014914126731789,0.021558320580211593
1,1,1,Competitive,0.007699731453507885,0.07374950768018905,0.0032014342425406555,0.021052373961151043,0.0010202497393927298
1,1,0,Non-Competitive,0.43548590130916426,0.0016738873572272547,0.01805608912792931,0.000175175484695303,0.002887750349324639
0,0,0,Neutral,0.20868999664316895,0.0013784954706577393,0.048065671351800086,0.000175175484695303,0.05087941091667221
0,1,1,Competitive,0.0664264211180391,0.009157148483654983,0.011749240181978636,0.00350850969522185,0.0078104317468497084
0,0,1,Non-Competitive,0.43548590130916426,0.0013784954706577393,0.01805608912792931,0.0005260527700138869,0.002887750349324639
0,1,1,Neutral,0.12235649546827797,0.0006892477353288697,0.08670367083073907,0.00701728254840769,0.08350522323507883
0,0,1,Non-Competitive,0.3756923464249749,0.000393855848759354,0.015035701511518536,1.7280706301940254e-05,0.002129216847428305
0,0,0,Non-Competitive,0.37569234642497495,0.0018708152816069316,0.015035701511518536,0.000175175484695303,0.002129216847428305
0,0,0,Non-Competitive,0.43548590130916426,0.0018708152816069316,0.01805608912792931,0.000350614127354595,0.002887750349324639
0,0,0,Neutral,0.20868999664316895,0.0013784954706577393,0.048065671351800086,0.000175175484695303,0.05087941091667221
1,0,1,Competitive,0.05031050688150386,0.2952934226073257,0.004141993544142259,0.0017541232686289305,0.005079069354802936
0,0,0,Non-Competitive,0.45436807653575045,9.846396218983852e-05,0.019009895743637983,8.745616336565703e-05,0.003127287244660325
1,1,1,Non-Competitive,0.43548590130916426,0.0008861756597085466,0.01805608912792931,0.000350614127354595,0.002887750349324639
0,0,1,Competitive,0.027840718361866412,0.002855454903505317,0.024397136813844325,0.014034828254779367,0.022312418213675782
